year;position;team;points;games;victories;draws;losses;goals_scored;goals_against;goals_difference;perc_points_won
2004;9; Fluminense;67;46;18;13;15;65;68;-3;48
2004;10; Ponte Preta;64;46;19;7;20;43;73;-30;46
2004;11; Figueirense;63;46;17;12;17;57;59;-2;46
2004;12; Coritiba;62;46;15;17;14;53;48;-5;45
2004;13; Cruzeiro;56;46;16;8;22;69;81;-12;40
2004;14; Paysandu;56;46;14;14;18;56;76;-20;40
2004;15; Paraná;54;46;15;9;22;52;73;-21;39
2004;16; Vasco da Gama;54;46;14;12;20;64;68;-4;39
2004;17; Flamengo;54;46;13;15;18;51;53;-2;39
2004;18; São Caetano;53;46;23;8;15;65;49;15;38
2004;19; Atlético Mineiro;53;46;12;17;17;60;66;-6;38
2004;20; Botafogo;51;46;11;18;17;62;71;-9;37
2004;21; Criciúma;50;46;13;11;22;61;78;-17;36
2004;22; Guarani;49;46;11;16;19;43;55;-12;35
2004;23; Vitória;48;46;13;9;24;68;87;-19;35
2004;24; Grêmio;39;46;9;12;25;60;80;-20;28
2005;1; Corinthians;81;42;24;9;9;87;59;28;64
2005;2; Internacional;78;42;23;9;10;72;49;23;61
2005;3; Goiás;74;42;22;8;12;68;41;27;59
2005;4; Palmeiras;70;42;20;10;12;81;65;16;55
2005;5; Fluminense;68;42;19;11;12;79;70;9;54
2005;6; Atlético Paranaense;61;42;18;7;17;76;67;9;48
2005;7; Paraná;61;42;17;10;15;59;51;8;48
2005;8; Cruzeiro;60;42;17;9;16;73;72;1;47
2005;9; Botafogo;59;42;17;8;17;57;56;1;47
2005;10; Santos;59;42;16;11;15;68;71;–3;47
2005;11; São Paulo;58;42;16;10;16;77;67;10;46
2005;12; Vasco da Gama;56;42;15;11;16;74;84;–10;44
2005;13; Fortaleza;55;42;16;7;19;58;64;–6;44
2005;14; Juventude;55;42;15;10;17;66;72;–6;44
2005;15; Flamengo;55;42;14;13;15;56;60;–4;44
2005;16; Figueirense;53;42;14;11;17;65;72;–7;42
2005;17; São Caetano;52;42;14;10;18;54;60;–6;41
2005;18; Ponte Preta;51;42;15;6;21;63;80;–17;40
2005;19; Coritiba;49;42;13;10;19;51;60;–9;39
2005;20; Atlético Mineiro;47;42;13;8;21;54;59;–5;37
2005;21; Paysandu;41;42;12;5;25;63;92;–29;32
2005;22; Brasiliense;41;42;10;11;21;47;67;–20;32
2006;1; São Paulo;78;38;22;12;4;66;32;34;68
2006;2; Internacional;69;38;20;9;9;52;36;16;61
2006;3; Grêmio;67;38;20;7;11;64;45;19;59
2006;4; Santos;64;38;18;10;10;58;36;22;56
2006;5; Paraná;60;38;18;6;14;56;49;7;53
2006;6; Vasco da Gama;59;38;15;14;9;57;50;7;52
2006;7; Figueirense;57;38;15;12;11;52;44;8;50
2006;8; Goiás;55;38;15;10;13;63;49;14;48
2006;9; Corinthians;53;38;15;8;15;41;46;-5;46
2006;10; Cruzeiro;53;38;14;11;13;52;45;7;46
2006;11; Flamengo;52;38;15;7;16;44;48;4;46
2006;12; Botafogo;51;38;13;12;13;52;50;2;45
2006;13; Atlético Paranaense;48;38;13;9;16;61;62;1;42
2006;14; Juventude;47;38;13;8;17;44;54;-10;41
2006;15; Fluminense;45;38;11;12;15;48;58;-10;39
2006;16; Palmeiras;44;38;12;8;18;58;70;-12;39
2006;17; Ponte Preta;39;38;10;9;19;45;65;-20;34
2006;18; Fortaleza;38;38;8;14;16;39;62;-23;33
2006;19; São Caetano;36;38;9;9;20;37;53;-16;32
2006;20; Santa Cruz;28;38;7;7;24;41;76;-35;25
2007;1; São Paulo;77;38;23;8;7;55;19;36;68
2007;2; Santos;62;38;19;5;14;57;47;10;54
2007;3; Flamengo;61;38;17;10;11;55;49;6;54
2007;4; Fluminense;61;38;16;13;9;57;39;18;54
2007;5; Cruzeiro;60;38;18;6;14;73;58;15;53
2007;6; Grêmio;58;38;17;7;14;44;43;1;51
2007;7; Palmeiras;58;38;16;10;12;48;47;1;51
2007;8; Atlético Mineiro;55;38;15;10;13;63;51;12;48
2007;9; Botafogo;55;38;14;13;11;62;58;4;48
2007;10; Vasco da Gama;54;38;15;9;14;58;47;11;47
2007;11; Internacional;54;38;15;9;14;49;44;5;47
2007;12; Atlético Paranaense;54;38;14;12;12;51;50;1;47
2007;13; Figueirense;53;38;14;11;13;57;56;1;46
2007;14; Sport;51;38;14;9;15;54;55;-1;45
2007;15; Náutico;49;38;14;7;17;66;63;3;43
2007;16; Goiás;45;38;13;6;19;49;62;-13;39
2007;17; Corinthians;44;38;10;14;14;40;50;-10;39
2007;18; Juventude;41;38;11;8;19;43;65;-22;36
2007;19; Paraná;41;38;11;8;19;42;64;-22;36
2007;20; América de Natal;17;38;4;5;29;24;80;-56;15
2008;1; São Paulo;75;38;21;12;5;66;36;30;66
2008;2; Grêmio;72;38;21;9;8;59;35;24;63
2008;3; Cruzeiro;67;38;21;4;13;59;44;15;58
2008;4; Palmeiras;65;38;19;8;11;55;45;10;57
2008;5; Flamengo;64;38;18;10;10;67;48;19;56
2008;6; Internacional;54;38;15;9;14;48;47;1;47
2008;7; Botafogo;53;38;15;8;15;51;44;7;46
2008;8; Goiás;53;38;14;11;13;57;47;10;46
2008;9; Coritiba;53;38;14;11;13;55;48;7;46
2008;10; Vitória;52;38;15;7;16;48;44;4;45
2008;11; Sport;52;38;14;10;14;48;45;3;45
2008;12; Atlético Mineiro;48;38;12;12;14;50;61;–11;42
2008;13; Atlético Paranaense;45;38;12;9;17;45;54;–9;39
2008;14; Fluminense;45;38;11;12;15;49;48;1;39
2008;15; Santos;45;38;11;12;15;44;53;–9;39
2008;16; Náutico;44;38;11;11;16;44;54;–10;38
2008;17; Figueirense;44;38;11;11;16;49;73;–24;38
2008;18; Vasco da Gama;40;38;11;7;20;56;72;–16;35
2008;19; Portuguesa;38;38;9;11;18;48;70;–22;33
2008;20; Ipatinga;35;38;9;8;21;37;67;–30;30
2009;1; Flamengo;67;38;19;10;9;58;44;14;59
2009;2; Internacional;65;38;19;8;11;65;44;21;57
2009;3; São Paulo;65;38;18;11;9;57;42;15;57
2009;4; Cruzeiro;62;38;18;8;12;58;53;5;54
2009;5; Palmeiras;62;38;17;11;10;58;45;13;54
2009;6; Avaí;57;38;15;12;11;61;52;9;50
2009;7; Atlético Mineiro;56;38;16;8;14;55;56;-1;49
2009;8; Grêmio;55;38;15;10;13;67;46;21;48
2009;9; Goiás;55;38;15;10;13;64;65;-1;48
2009;10; Corinthians;52;38;14;10;14;50;54;-4;46
2009;11; Grêmio Barueri;49;38;12;13;13;59;52;7;43
2009;12; Santos;49;38;12;13;13;58;58;0;43
2009;13; Vitória;48;38;13;9;16;51;57;-6;42
2009;14; Atlético Paranaense;48;38;13;9;16;42;49;-7;42
2009;15; Botafogo;47;38;11;14;13;52;58;-6;41
2009;16; Fluminense;46;38;11;13;14;49;56;-7;40
2009;17; Coritiba;45;38;12;9;17;48;60;-12;39
2009;18; Santo André;41;38;11;8;19;46;61;-15;36
2009;19; Náutico;38;38;10;8;20;48;71;-23;33
2009;20; Sport;31;38;7;10;21;48;71;-23;27
2010;1; Fluminense;71;38;20;11;7;62;36;26;62
2010;2; Cruzeiro;69;38;20;9;9;53;38;15;61
2010;3; Corinthians;68;38;19;11;8;65;41;24;60
2010;4; Grêmio;63;38;17;12;9;68;43;25;55
2010;5; Atlético Paranaense;60;38;17;9;12;43;45;-2;53
2010;6; Botafogo;59;38;14;17;7;54;42;12;52
2010;7; Internacional;58;38;16;10;12;48;41;7;51
2010;8; Santos;56;38;15;11;12;63;50;13;49
2010;9; São Paulo;55;38;15;10;13;54;54;0;48
2010;10; Palmeiras;50;38;12;14;12;42;43;-1;44
2010;11; Vasco da Gama;49;38;11;16;11;43;45;-2;43
2010;12; Ceará;47;38;10;17;11;35;44;-9;41
2010;13; Atlético Mineiro;45;38;13;6;19;52;64;-12;39
2010;14; Flamengo;44;38;9;17;12;41;44;-3;39
2010;15; Avaí;43;38;11;10;17;49;58;-9;38
2010;16; Atlético Goianiense;42;38;11;9;18;51;57;-6;37
2010;17; Vitória;42;38;9;15;14;42;48;-6;37
2010;18; Guarani;37;38;8;13;17;33;53;-20;32
2010;19; Goiás;33;38;8;9;21;41;68;-27;29
2010;20; Grêmio Prudente;28;38;7;10;21;39;64;-25;25
2011;1; Corinthians;71;38;21;8;9;53;36;17;62
2011;2; Vasco da Gama;69;38;19;12;7;57;40;17;60
2011;3; Fluminense;63;38;20;3;15;60;51;9;55
2011;4; Flamengo;61;38;15;16;7;59;47;12;53
2011;5; Internacional;60;38;16;12;10;57;43;14;52
2011;6; São Paulo;59;38;16;11;11;57;46;11;52
2011;7; Figueirense;58;38;15;13;10;46;45;1;51
2011;8; Coritiba;57;38;16;9;13;57;41;16;50
2011;9; Botafogo;56;38;16;8;14;52;49;3;49
2011;10; Santos;53;38;15;8;15;55;55;0;46
2011;11; Palmeiras;50;38;11;17;10;43;39;4;44
2011;12; Grêmio;48;38;13;9;16;49;57;-8;42
2011;13; Atlético Goianiense;48;38;12;12;14;50;45;5;42
2011;14; Bahia;46;38;11;13;14;43;49;-6;40
2011;15; Atlético Mineiro;45;38;13;6;19;50;60;-10;39
2011;16; Cruzeiro;43;38;11;10;17;48;51;-3;37
2011;17; Atlético Paranaense;41;38;10;11;17;38;55;-17;36
2011;18; Ceará;39;38;10;9;19;47;64;-17;34
2011;19; América Mineiro;37;38;8;13;17;51;69;-18;32
2011;20; Avaí;31;38;7;10;21;45;75;-30;27
2012;1; Fluminense;77;38;22;11;5;61;33;28;67
2012;2; Atlético Mineiro;72;38;20;12;6;64;37;27;63
2012;3; Grêmio;71;38;20;11;7;56;33;23;62
2012;4; São Paulo;66;38;20;6;12;59;37;22;58
2012;5; Vasco da Gama;58;38;16;10;12;45;44;1;51
2012;6; Corinthians;57;38;15;12;11;51;39;12;50
2012;7; Botafogo;55;38;15;10;13;60;50;10;48
2012;8; Santos;53;38;13;14;11;50;44;6;46
2012;9; Cruzeiro;52;38;15;7;16;47;51;–4;45
2012;10; Internacional;52;38;13;13;12;44;40;4;45
2012;11; Flamengo;50;38;12;14;12;39;46;–7;44
2012;12; Náutico;49;38;14;7;17;44;51;–7;43
2012;13; Coritiba;48;38;14;6;18;53;60;–7;42
2012;14; Ponte Preta;48;38;12;12;14;37;44;–7;42
2012;15; Bahia;47;38;11;14;13;37;41;–4;41
2012;16; Portuguesa;45;38;10;15;13;39;41;–2;39
2012;17; Sport;41;38;10;11;17;39;56;–17;36
2012;18; Palmeiras;34;38;9;7;22;39;54;–15;30
2012;19; Atlético Goianiense;30;38;7;9;22;37;67;–30;26
2012;20; Figueirense;30;38;7;9;22;39;72;–33;26
2013;1; Cruzeiro;76;38;23;7;8;77;37;40;67
2013;2; Grêmio;65;38;18;11;9;42;35;7;57
2013;3; Atlético Paranaense;64;38;18;10;10;65;49;16;56
2013;4; Botafogo;61;38;17;10;11;55;41;14;53
2013;5; Vitória;59;38;16;11;11;59;53;6;52
2013;6; Goiás;59;38;16;11;11;48;44;4;52
2013;7; Santos;57;38;15;12;11;51;38;13;50
2013;8; Atlético Mineiro;57;38;15;12;11;49;38;11;50
2013;9; São Paulo;50;38;14;8;16;39;40;–1;44
2013;10; Corinthians;50;38;11;17;10;27;22;5;44
2013;11; Coritiba;48;38;12;12;14;42;45;–3;42
2013;12; Bahia;48;38;12;12;14;37;45;–8;42
2013;13; Internacional;48;38;11;15;12;51;52;–1;42
2013;14; Criciúma;46;38;13;7;18;49;63;–14;40
2013;15; Fluminense;46;38;12;10;16;43;47;–4;40
2013;16; Flamengo;45;38;12;13;13;43;46;–3;43
2013;17; Portuguesa;44;38;12;12;14;50;46;4;42
2013;18; Vasco da Gama;44;38;11;11;16;50;61;–11;38
2013;19; Ponte Preta;37;38;9;10;19;37;55;–18;32
2013;20; Náutico;20;38;5;5;28;22;79;–57;17
2014;1; Cruzeiro;80;38;24;8;6;67;38;29;70
2014;2; São Paulo;70;38;20;10;8;59;40;19;61
2014;3; Internacional;69;38;21;6;11;53;41;12;60
2014;4; Corinthians;69;38;19;12;7;49;31;18;60
2014;5; Atlético Mineiro;62;38;17;11;10;51;38;13;54
2014;6; Fluminense;61;38;17;10;11;61;42;19;53
2014;7; Grêmio;61;38;17;10;11;36;24;12;53
2014;8; Atlético Paranaense;54;38;15;9;14;43;42;1;47
2014;9; Santos;53;38;15;8;15;42;35;7;46
2014;10; Flamengo;52;38;14;10;14;46;47;–1;45
2014;11; Sport;52;38;14;10;14;36;46;–10;45
2014;12; Goiás;47;38;13;8;17;38;40;–2;41
2014;13; Figueirense;47;38;13;8;17;37;47;–10;41
2014;14; Coritiba;47;38;12;11;15;42;45;–3;41
2014;15; Chapecoense;43;38;11;10;17;39;44;–5;38
2014;16; Palmeiras;40;38;11;7;20;34;59;–25;35
2014;17; Vitória;38;38;10;8;20;37;54;–17;33
2014;18; Bahia;37;38;9;10;19;31;43;–12;32
2014;19; Botafogo;34;38;9;7;22;31;48;–17;30
2014;20; Criciúma;32;38;7;11;20;28;56;–28;28
2015;1; Corinthians;81;38;24;9;5;71;31;40;71
2015;2; Atlético Mineiro;69;38;21;6;11;65;47;18;60
2015;3; Grêmio;68;38;20;8;10;52;32;20;60
2015;4; São Paulo;62;38;18;8;12;53;47;6;54
2015;5; Internacional;60;38;17;9;12;39;38;1;53
2015;6; Sport;59;38;15;14;9;53;38;15;52
2015;7; Santos;58;38;16;10;12;59;41;18;51
2015;8; Cruzeiro;55;38;15;10;13;44;35;9;48
2015;9; Palmeiras;53;38;15;8;15;60;51;9;46
2015;10; Atlético Paranaense;51;38;14;9;15;43;48;–5;45
2015;11; Ponte Preta;51;38;13;12;13;41;40;1;45
2015;12; Flamengo;49;38;15;4;19;45;53;–8;43
2015;13; Fluminense;47;38;14;5;19;40;49;–9;41
2015;14; Chapecoense;47;38;12;11;15;34;44;–10;41
2015;15; Coritiba;44;38;11;11;16;31;42;–11;39
2015;16; Figueirense;43;38;11;10;17;36;50;–14;38
2015;17; Avaí;42;38;11;9;18;38;60;–22;37
2015;18; Vasco da Gama;41;38;10;11;17;28;54;–26;36
2015;19; Goiás;38;38;10;8;20;39;49;–10;33
2015;20; Joinville;31;38;7;10;21;26;48;–22;27
2016;1; Palmeiras;80;38;24;8;6;62;32;30;70
2016;2; Santos;71;38;22;5;11;59;35;24;62
2016;3; Flamengo;71;38;20;11;7;52;35;17;62
2016;4; Atlético Mineiro;62;38;17;11;10;61;53;8;54
2016;5; Botafogo;59;38;17;8;13;43;39;4;52
2016;6; Atlético Paranaense;57;38;17;6;15;38;32;6;50
2016;7; Corinthians;55;38;15;10;13;48;42;6;48
2016;8; Ponte Preta;53;38;15;8;15;48;52;–4;46
2016;9; Grêmio;53;38;14;11;13;41;44;–3;46
2016;10; São Paulo;52;38;14;10;14;44;36;8;46
2016;11; Chapecoense;52;38;13;13;12;49;56;–7;46
2016;12; Cruzeiro;51;38;14;9;15;48;49;–1;45
2016;13; Fluminense;50;38;13;11;14;45;45;0;44
2016;14; Sport;47;38;13;8;17;49;55;–6;41
2016;15; Coritiba;46;38;11;13;14;41;42;–1;40
2016;16; Vitória;45;38;12;9;17;51;53;–2;39
2016;17; Internacional;43;38;11;10;17;35;41;–6;38
2016;18; Figueirense;37;38;8;13;17;30;50;–20;32
2016;19; Santa Cruz;28;38;8;7;23;45;69;–24;27
2016;20; América Mineiro;28;38;7;7;24;23;58;–35;25
2017;1; Corinthians;72;38;21;9;8;50;30;20;63
2017;2; Palmeiras;63;38;19;6;13;61;45;16;55
2017;3; Santos;63;38;17;12;9;42;32;10;55
2017;4; Grêmio;62;38;18;8;12;55;36;19;54
2017;5; Cruzeiro;57;38;15;12;11;47;39;8;50
2017;6; Flamengo;56;38;15;11;12;49;38;11;49
2017;7; Vasco da Gama;56;38;15;11;12;40;47;–7;49
2017;8; Chapecoense;54;38;15;9;14;47;49;–2;47
2017;9; Atlético Mineiro;54;38;14;12;12;52;49;3;47
2017;10; Botafogo;53;38;14;11;13;45;42;3;46
2017;11; Atlético Paranaense;51;38;14;9;15;45;43;2;45
2017;12; Bahia;50;38;13;11;14;50;48;2;44
2017;13; São Paulo;50;38;13;11;14;48;49;–1;44
2017;14; Fluminense;47;38;11;14;13;50;53;–3;41
2017;15; Sport;45;38;12;9;17;46;58;–12;39
2017;16; Vitória;43;38;11;10;17;50;58;–8;38
2017;17; Coritiba;43;38;11;10;17;42;51;–9;38
2017;18; Avaí;43;38;10;13;15;29;48;–19;38
2017;19; Ponte Preta;39;38;10;9;19;37;52;–15;34
2017;20; Atlético Goianiense;36;38;9;9;20;38;56;–18;32
2018;1; Palmeiras;80;38;23;11;4;64;26;38;70
2018;2; Flamengo;72;38;21;9;8;59;29;30;63
2018;3; Internacional;69;38;19;12;7;51;29;22;60
2018;4; Grêmio;66;38;18;12;8;48;27;21;58
2018;5; São Paulo;63;38;16;15;7;46;34;12;55
2018;6; Atlético Mineiro;59;38;17;8;13;56;43;13;52
2018;7; Atlético Paranaense;57;38;16;9;13;54;37;17;50
2018;8; Cruzeiro;53;38;14;11;13;34;34;0;46
2018;9; Botafogo;51;38;13;12;13;38;46;–8;45
2018;10; Santos;50;38;13;11;14;46;40;6;44
2018;11; Bahia;48;38;12;12;14;39;41;–2;42
2018;12; Fluminense;45;38;12;9;17;32;46;–14;39
2018;13; Corinthians;44;38;11;11;16;34;35;–1;39
2018;14; Chapecoense;44;38;11;11;16;34;50;–16;39
2018;15; Ceará;44;38;10;14;14;32;38;–6;39
2018;16; Vasco da Gama;43;38;10;13;15;41;48;–7;38
2018;17; América Mineiro;40;38;10;10;18;30;47;–17;35
2018;18; Sport;39;38;11;9;18;35;57;–22;37
2018;19; Vitória;37;38;9;10;19;36;63;–27;32
2018;20; Paraná;23;38;4;11;23;18;57;–39;20
